KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,2,2,0,16,1,4,4,2,1,1,3,31,2,3,1,73
5-9,0,7,3,20,1,8,19,0,1,8,4,25,5,2,0,103
10-14,4,23,9,22,4,10,30,1,6,19,8,45,8,8,0,197
15-19,7,47,26,50,17,20,41,5,11,34,25,101,16,33,0,433
20-24,9,34,25,55,19,22,33,3,11,44,44,135,15,46,0,495
25-29,8,28,17,45,17,23,33,4,7,48,33,114,17,39,0,433
30-34,2,20,15,45,11,20,22,1,7,49,33,96,19,40,2,382
35-39,7,18,16,38,11,15,18,2,7,37,37,79,7,29,0,321
40-44,8,19,11,22,8,12,20,1,9,36,28,61,8,19,0,262
45-49,4,13,16,18,13,9,14,5,8,30,22,43,6,12,0,213
50-54,6,17,11,26,9,10,16,0,15,28,18,42,7,19,1,225
55-59,4,13,6,31,20,3,13,0,7,21,10,22,4,18,2,174
60-64,1,15,8,18,5,3,11,1,13,10,7,29,5,3,0,129
65-69,2,5,4,10,8,2,1,0,6,16,11,12,4,6,0,87
70-74,1,5,1,10,3,2,2,2,10,10,5,9,1,3,0,64
>75,3,1,1,14,5,0,3,0,9,20,4,9,2,2,1,74
Grand Total,68,267,169,440,152,163,280,27,128,411,292,853,126,282,7,3665
