KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,12,39,20,0,9,13,19,1,6,19,6,171,4,17,0,336
5-9,16,43,52,4,7,12,20,1,5,33,10,134,7,15,0,359
10-14,25,67,94,12,11,11,36,2,7,52,19,136,28,17,1,518
15-19,69,123,158,18,44,23,64,4,22,84,40,152,35,55,12,903
20-24,60,67,102,14,40,33,76,3,15,78,71,198,52,47,2,858
25-29,37,59,101,21,38,30,76,2,24,113,68,240,39,49,1,898
30-34,30,55,84,13,31,43,64,1,19,93,62,214,37,45,1,792
35-39,23,33,56,9,26,28,40,1,11,77,67,163,22,26,2,584
40-44,22,33,54,4,22,16,42,0,10,80,64,107,22,22,0,498
45-49,18,31,83,9,19,17,42,0,6,68,46,79,23,16,1,458
50-54,24,41,65,9,15,17,31,2,11,68,58,76,28,9,1,455
55-59,20,33,50,11,10,13,35,0,12,57,30,50,22,13,0,356
60-64,10,30,46,9,11,13,26,0,14,27,31,40,28,8,2,295
65-69,10,16,25,0,13,9,20,1,11,19,15,27,11,4,1,182
70-74,3,16,19,4,2,7,16,1,10,31,16,18,7,3,0,153
>75,8,13,21,4,4,3,14,1,8,31,13,27,9,4,1,161
Grand Total,387,699,1030,141,302,288,621,20,191,930,616,1832,374,350,25,7806
