KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,0,0,6,4,0,1,1,0,0,2,0,16,3,3,0,36
5-9,2,2,19,3,1,12,11,1,0,3,6,9,3,0,0,72
10-14,6,14,26,7,1,8,29,0,1,9,20,25,9,7,0,162
15-19,6,24,24,36,23,18,34,4,4,11,12,42,20,29,0,287
20-24,10,16,27,31,20,14,35,2,7,6,16,105,14,50,0,353
25-29,4,10,34,18,28,26,31,0,3,7,20,58,12,68,1,320
30-34,5,5,24,20,14,17,19,1,3,6,20,46,19,23,0,222
35-39,7,9,22,13,16,8,20,0,2,5,19,27,16,16,0,180
40-44,2,8,19,6,11,10,14,2,1,5,6,32,11,12,0,139
45-49,2,4,12,7,11,6,9,0,1,3,6,14,10,10,1,96
50-54,2,5,21,8,10,7,13,6,2,7,11,27,9,12,0,140
55-59,4,5,16,7,5,5,2,0,2,0,9,13,4,3,0,75
60-64,2,4,11,12,8,1,10,3,3,2,6,9,2,5,0,78
65-69,0,3,6,5,3,0,5,0,1,2,2,3,4,5,1,40
70-74,2,1,6,5,1,0,3,0,2,0,2,10,1,3,0,36
>75,1,1,3,9,3,0,6,0,1,0,2,6,0,0,0,32
Grand Total,55,111,276,191,155,133,242,19,33,68,157,442,137,246,3,2268
