KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,10,21,43,9,3,6,28,1,0,1,9,48,25,4,0,208
5-9,11,30,63,6,7,5,28,2,2,3,24,57,46,6,0,290
10-14,16,31,40,7,13,11,16,0,4,6,41,45,34,1,1,266
15-19,19,38,49,14,25,18,32,1,12,16,60,73,53,21,2,433
20-24,31,35,47,12,43,18,35,2,10,16,51,91,43,12,3,449
25-29,40,28,50,17,23,21,35,1,11,18,58,105,49,24,3,483
30-34,42,32,44,22,30,15,25,0,14,18,62,76,47,33,2,462
35-39,29,21,33,12,19,20,18,1,8,10,57,58,41,22,2,351
40-44,20,22,21,8,15,23,13,1,5,12,55,27,37,11,3,273
45-49,22,19,23,7,16,14,15,2,2,8,47,31,18,11,1,236
50-54,20,30,18,10,8,10,11,0,2,9,43,21,24,8,0,214
55-59,23,34,23,10,4,12,13,0,3,11,37,19,26,5,0,220
60-64,19,29,17,4,7,6,13,1,4,9,35,19,20,3,1,187
65-69,13,14,5,7,5,6,8,0,1,5,22,14,25,3,2,130
70-74,9,7,8,4,2,0,3,1,1,4,19,8,12,2,1,81
>75,8,11,5,5,1,8,8,1,1,3,16,5,9,1,0,82
Grand Total,332,402,489,154,221,193,301,14,80,149,636,697,509,167,21,4365
