KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,4,20,64,7,4,2,31,0,2,2,12,65,46,7,8,274
5-9,7,34,112,7,6,8,27,0,0,7,27,79,74,8,6,402
10-14,8,43,94,13,7,15,25,0,2,9,38,57,60,8,2,381
15-19,25,62,93,20,28,17,28,0,6,19,74,80,75,11,1,539
20-24,15,39,71,37,36,35,36,3,5,14,73,111,72,34,3,584
25-29,16,37,85,25,13,36,36,0,7,21,98,92,66,29,3,564
30-34,28,31,59,24,22,22,25,2,3,23,91,94,53,29,5,511
35-39,17,18,56,19,15,20,23,0,3,15,91,79,44,11,2,413
40-44,15,15,38,18,11,13,17,1,1,9,63,38,35,11,1,286
45-49,11,28,44,11,6,18,20,2,0,10,64,26,28,5,0,273
50-54,12,15,46,7,4,11,18,1,1,10,56,30,30,9,0,250
55-59,10,15,31,8,2,17,15,1,4,9,48,31,36,5,2,234
60-64,20,21,26,10,6,6,16,1,4,5,36,34,30,9,5,229
65-69,10,12,23,8,5,11,9,0,1,7,33,15,20,2,0,156
70-74,5,4,11,3,2,6,8,0,2,8,23,10,12,1,1,96
>75,4,16,10,10,2,2,6,0,1,6,17,6,10,0,3,93
Grand Total,207,410,863,227,169,239,340,11,42,174,844,847,691,179,42,5285
