KUMPULAN UMUR,JOHOR,KEDAH,KELANTAN,MELAKA,NEGERI SEMBILAN,PAHANG,PERAK,PERLIS,PULAU PINANG,SABAH,SARAWAK,SELANGOR,TERENGGANU,WP KUALA LUMPUR,WP LABUAN,MALAYSIA
0-4,1,10,5,3,6,4,9,0,0,1,3,99,1,8,0,150
5-9,1,24,9,5,3,13,27,0,2,8,10,69,7,4,0,182
10-14,0,32,32,6,6,14,48,1,6,15,13,57,14,12,0,256
15-19,8,54,40,12,14,23,70,3,10,29,36,125,25,45,0,494
20-24,7,26,23,9,25,33,48,2,7,37,31,147,22,70,0,487
25-29,14,25,26,12,27,33,47,1,7,51,59,206,23,89,1,621
30-34,6,25,24,12,21,30,43,1,11,39,48,159,13,62,0,494
35-39,6,16,28,4,16,32,38,0,7,37,40,137,7,31,0,399
40-44,4,17,16,6,6,20,28,0,8,43,47,71,9,19,1,295
45-49,7,18,11,3,8,19,16,0,11,27,34,75,10,17,0,256
50-54,3,15,13,10,12,20,19,0,5,23,30,75,16,14,1,256
55-59,0,9,13,8,11,17,9,0,9,28,23,35,8,13,0,183
60-64,1,7,11,5,10,9,12,3,7,10,14,31,1,9,0,130
65-69,3,4,5,6,6,7,7,0,3,7,21,28,7,7,2,113
70-74,0,6,4,1,2,3,5,0,4,7,13,18,3,1,0,67
>75,1,6,4,6,4,0,3,0,1,5,12,20,2,9,1,74
Grand Total,62,294,264,108,177,277,429,11,98,367,434,1352,168,410,6,4457
